**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	
D45/f0032		Outcrop	GE12					(D45) 2117300 5466500 (New Zealand Map Grid)	2117300.0000029528	5466499.999952231	45.90234°S	167.93828°E	1975			COAL CREEK, NORTH END OF STRIKE RIDGE TO EAST OF STREAM (YARD GRID 988620).	New Zealand			MURIHIKU SUPERGROUP	Malakovian				246.5	245.5	Malakovian				246.5	245.5										
D45/f0036		Outcrop	JGB 2612					D45 178 662 (NZMS260 map reference (truncated))	2117800.000002949	5466199.999952256	45.90531°S	167.94447°E	1978			SMALL ROCKY OUTCROP IN BLACKCURRANT FIELD 400 METRES WEST-NORTHWEST OF JUNCTION OF THE MOST SOUTHERLY OF THE COAL CREEK TRIBUTARIES, 130 METRES NORTHEAST OF CORNER IN WILANDA DOWNS ROAD. 	New Zealand			MALAKOFF HILL GROUP	Malakovian				246.5	245.5	Malakovian				246.5	245.5	D45/f7574; D45/f7913; 	120 m above D45/f7913; 	? 90 m above base MALAKOFF HILL GROUP; 	MUTCH, 1964, 1:63,360, S159.	18	SE	25	Normal		
D45/f0037		Outcrop	JGB1985					(D45) 2122700 5468600 (New Zealand Map Grid)	2122700.000002919	5468599.999952099	45.88646°S	168.00939°E	1975			BROAD 1100 FOOT BRIDGE 1.3 KILOMETRES EAST IF ARDROSS STATION. 192° AT 1.9 KILOMETRES FROM TRIG D+ BEAUMONT.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D45/f7910; D45/f7974; 			MUTCH, 1972						
D45/f0038		Outcrop	JGB 2016					D45 206 682 (NZMS260 map reference (truncated))	2120600.000002935	5468199.99995212	45.8889°S	167.98207°E	1977			PROMINANT OUTCROP ON RIDGE WEST OF BEAUMONT STATION. 098° AT 2.2 KILOMETRES FROM TRIG Z.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0				MUTCH, 1972.						
D45/f0042		Outcrop	JGB 2042					D45 203 685 (NZMS260 map reference (truncated))	2120300.0000029374	5468499.999952097	45.88604°S	167.97844°E	1977			SMALL OUTCROP AT EXTREME HEAD OF TRIBUTARY OF MORLEY STREAM. ON RIDGE WEST OF BEAUMONT STATION. 088° AT 2.0 KILOMETRES FROM TRIG Z, 1384 FEET. 185° AT 3.7 KILOMETRES FROM TRIG V, 2010 FEET.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D45/f7999; 			A.R. MUTCH, 1972.						
D45/f0045		Outcrop	JGB 2133					D45 194 684 (NZMS260 map reference (truncated))	2119400.000002945	5468399.999952101	45.88644°S	167.96679°E	1977			ON TRUE LEFT BANK OF SMALL STREAM, FORMING A STEEP 5 METRE HIGH BANK. 1.1 KILOMETRES AT 098° FROM TRIG Z (1384 FEET).	New Zealand				Etalian				245.5	238.0										MUTCH, 1972.						
D45/f0047		Outcrop	JGB 2168					D45 196 684 (NZMS260 map reference (truncated))	2119600.000002943	5468399.999952101	45.88655°S	167.96936°E	1977			GREEN PADDOCK RIDGE, BELOW 1050 FEET. 200 METRES WEST OF MORLEY STREAM, DUE EAST OF TRIG Z 1384 FEET. 090° AT 1.2 KILOMETRES FROM TRIG Z 1384 FEET. 197° AT 3.9 KILOMETRES FROM TRIG V, 2010 FEET.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Malakovian		Etalian		246.5	238.0	D45/f7756; D45/f7509; 			A.R. MUTCH, 1972						
D45/f0048		Outcrop	JGB 2189					D45 234 682 (NZMS260 map reference (truncated))	2123400.000002912	5468199.999952131	45.89043°S	168.01808°E				SMALL KNOB JUST ABOVE SOUTHEAST EDGE OF BEECH PATCH. BEECH PATCH IS THE MIDDLE OF THREE IN THE SMALL CREEK. 178° AT 3 KILOMETRES FROM TRIG D+ BEAUMONT.	New Zealand				Etalian				245.5	238.0	Etalian				245.5	238.0	D45/f7987; D45/f7909; 			MUTCH, 1972.	23	NE	145	Normal		
D45/f0053		Outcrop	JGB 2631					D45 167 658 (NZMS260 map reference (truncated))	2116700.0000029556	5465799.999952282	45.90829°S	167.93°E	1978			FROM SMALL GRASSY RIDGE WITH SCATTERED OUTCROP, SOUTH OF SECOND CREEK, 500 METRES SOUTH OF ROAD CORNER ON SADDLE EAST OF ABYSS CREEK.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Malakovian		Etalian		246.5	238.0	D45/f7135; D45/f7649; 		? 15 m above top TAKITIMU SUBGROUP; 	MUTCH, 1964, S159, MORLEY, 1:63,360						
D45/f0068		Outcrop	JGB 2612					D45 173 664 (NZMS260 map reference (truncated))	2117300.0000029523	5466399.999952238	45.90324°S	167.9382°E	1975			SMALL KNOB IN BLACKCURRANT FIELD, 500 METRES WEST OF MALAKOVIAN TYPE LOCALITY, COAL CREEK, AND 300 METRES NORTH OF WILANDA DOWNS ROAD.	New Zealand			MALAKOFF HILL GROUP	Malakovian				246.5	245.5	Malakovian				246.5	245.5	D45/f7763; D45/f7594; 			BEGG 1981 (UNPUBL. PH.D.)	18	SE	25	Normal		
D45/f0096		Outcrop	134					(D45) 2116500 5466100 (New Zealand Map Grid)	2116500.000002959	5466099.999952258	45.90549°S	167.92767°E	1975			HILLSIDE OUTCROP AND SMALL FELL- FIELDS DOWN SLOPE, ON HILL TO SOUTH OF WILANDA DOWNS ROAD AND EAST OF ABYSS CREEK ABOUT 5-6 KM FROM OHAI.	New Zealand			MURIHIKU SUPERGROUP	Etalian				245.5	238.0																
D45/f0096A		Outcrop	JDC 3730					D45 165 662 (NZMS260 map reference (truncated))	2116500.0000029593	5466199.99995225	45.90459°S	167.92775°E				HILLSIDE ABOVE ABYSS CREEK AND WILLANDA DOWNS ROAD. ROCK IN PLACE AND LOOSE BLOCKS DOWN TO FENCELINE. LEVEL IN EASTERN PART OF RIDGE, EAST OF SMALL SADDLE.	New Zealand				Etalian				245.5	238.0										BEGG, 1981.						
D45/f0097		Outcrop	H11					D45 164 661 (NZMS260 map reference (truncated))	2116400.0000029583	5466099.999952258	45.90543°S	167.92638°E	1975			HILLSIDE ABOVE ABYSS CREEK AND ROAD. IN LOOSE BLOCKS ALONG FENCELINE IN WESTERN PART OF HILLSIDE.	New Zealand				Malakovian				246.5	245.5										BEGG, 1981						
D45/f0098		Outcrop	TJK223					D45 164 661 (NZMS260 map reference (truncated))	2116400.0000029583	5466099.999952258	45.90543°S	167.92638°E	1975			LOCALITY 1 OF KENNEDY. APPROXIMATELY 100 METRES SOUTH OF THE WILANDA DOWNS ROAD, SOUTH OF THE CORNER ON THE SHOULDER OF MALAKOFF HILL, ABOUT 1.25 KILOMETRES WEST OF COAL CREEK.	New Zealand			MALAKOFF HILL GROUP	Malakovian				246.5	245.5										T.J. KENNEDY, HONOURS PROJECT (UNPUBL.) O.U. GEOL DEPARTMENT						
D45/f0098A		Outcrop	H12					D45 164 661 (NZMS260 map reference (truncated))	2116400.0000029583	5466099.999952258	45.90543°S	167.92638°E				HILLSIDE ABOVE ABYSS CREEK AND ROAD. ROCK IN PLACE, OUTCROP IN HILLSIDE 50 METRES SOUTH OF FENCE, IN STEEP PART OF HILLSIDE (IN WESTERN PART OF RIDGE, EAST OF CULVERT IN ROAD AND WEST OF SMALL SADDLE).	New Zealand				Malakovian				246.5	245.5										Begg (1981)						
D45/f0176		Outcrop	JDC3736=H16					D45 193 664 (NZMS260 map reference (truncated))	2119300.000002938	5466399.999952247	45.90434°S	167.96392°E	1975			OUTCROP JUST NORTH OF CREST OF LOW RIDGE, ACROSS SMALL STREAM NORTH-EAST OF FLYNN'S ROAD.	New Zealand				Malakovian		Etalian		246.5	238.0	Malakovian		Etalian		246.5	238.0				Begg, 1981						
D45/f0298		Outcrop	HJC 1150					(D45) 2116400 5466300 (New Zealand Map Grid)	2116400.00000296	5466299.999952243	45.90364°S	167.92654°E	1985			Wairaki Hills, Southland. Fossiliferous block in float 10 m inside gate to paddock below hill overlooking Wilanda Downs Road where it crosses Abyss Creek, a tributary of Morley Stream.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Malakovian		Etalian		246.5	238.0	D44/f0297; D45/f7648; 									
D45/f0319		Outcrop						D45 167 689 (NZMS260 map reference (truncated))	2116700.0000029667	5468899.999952056	45.88045°S	167.93247°E	1985			Northern bank of Coal Creek, 500 m to the NE of P.J. Speight woolshed, conspicuous bulldozed outcrop; a small quarry.	New Zealand			MURIHIKU SUPERGROUP	Malakovian				246.5	245.5									30 m above base BARRETTS FORMATION; 	A Willsman Bsc Hons project 1990		E	30	Normal		
D45/f0320		Outcrop						D45 163 693 (NZMS260 map reference (truncated))	2116300.000002973	5469299.999952028	45.87664°S	167.92765°E	1985			Bulldozer cut in upper reaches of Coal Creek. Prominent quarry (small) on the north side of a small hill to the south of the upper part of Coal Creek.	New Zealand			MURIHIKU SUPERGROUP	Malakovian				246.5	245.5									40 m above top TAKITIMU SUBGROUP; 		28	E	30	Normal		
D45/f0328		Outcrop	JDC 1969					S159 012 624 (NZMS1 SthIsl (truncated))	2120463.667628851	5466881.53078367	45.90066°S	167.97927°E				Morley Stream 400 m (approx) upstream of Beaumont Stream junction	New Zealand																									
D45/f7443A	S159/f0443A	Outcrop						S159 020 654 (NZMS1 SthIsl (truncated))	2121147.511704616	5469634.015709618	45.87632°S	167.99024°E				Blders on ridge E side ofN Beaumont Stream S of 2nd tributary to join downstream of beech forest	New Zealand																									
D45/f7500	S159/f0500	Outcrop						S159 014 622 (NZMS1 SthIsl (truncated))	2120649.453831138	5466701.984204257	45.90238°S	167.98152°E				WAIRAKI S.D. North end of rock otc on left bank of Morley Str immediately downstream from ford at Beaumont Bridge	New Zealand										Etalian				245.5	238.0					32	E	72			
D45/f7500A	S159/f0500A	Outcrop						S159 014 622 (NZMS1 SthIsl (truncated))	2120649.453831138	5466701.984204257	45.90238°S	167.98152°E	1975			EXPOSURE IN BEND OF MORLEY STREAM 0.50 KM FROM BEAUMONT STATION. RECOLLECTION OF ORIGINAL ETALIAN LOCALITY.	New Zealand				Nelsonian		Otapirian		251.0	201.3	Etalian				245.5	238.0					5	E	340			
D45/f7500B	S159/f0500B	Outcrop						S159 015 621 (NZMS1 SthIsl (truncated))	2120742.3469420867	5466612.210758707	45.90323°S	167.98265°E	1946			OUTCROP IN BEND OF MORLEY CREEK, 0.25 MILE FROM BEAUMONT STATION. 148 CHAINS AT 130 DEGREES FROM TRIG Z (1384) WAIRAKI SURVEY DISTRICT. COLLECTORS (CONFERENCE EXCURSION).	New Zealand										Etalian				245.5	238.0					5	E	340			
D45/f7500C	S159/f0500C	Outcrop	H19 JDC1347					(D45) 2120700 5466600 (New Zealand Map Grid)	2120700.0000029276	5466599.999952238	45.90332°S	167.98209°E	1975			MORLEY BRIDGE QUARRY 'FRASER'S FORD'.	New Zealand				Etalian				245.5	238.0										Begg, 1981.						
D45/f7540	S159/f0540	Outcrop						S159 019 615 (NZMS1 SthIsl (truncated))	2121117.0385729256	5466070.448879803	45.90831°S	167.98704°E	1975			WAIRAKI S.D. 3.4 KM AT 132 DEGREES FROM TRIG Z 300 M SOUTH OF THE JUNCTION OF MORLEY STREAM AND BEAUMONT STREAM.	New Zealand				Etalian				245.5	238.0											30	NE	294			
D45/f7570	S159/f0570	Outcrop						S159 014 604 (NZMS1 SthIsl (truncated))	2120677.5228162757	5465057.985175597	45.91716°S	167.98059°E	1975			IN SLIP, EAST BANK MORLEY STREAM, 480 M DUE EAST OVER SADDLE FROM MCKENZIES ROAD METAL QUARRY. WAIRAKI S.D. 2 KM AT 291 DEGREES FROM TRIG H.	New Zealand				Kaihikuan				238.0	229.0											30	NW	60			
D45/f7572	S159/f0572	Outcrop						S159 993 633 (NZMS1 SthIsl (truncated))	2118714.306190566	5467673.881482025	45.89258°S	167.9574°E	1975			JUST ABOVE STREAM BED, 160 M NORTH OF FURTHEST WEST BUILDING OF THE WETHER HILL HOME STATION. 720 M AT 160 DEGREES FROM TRIG Z. RECOLLECTED BY J.B. and D.R. WATERHOUSE, and G. RETALLACK, JAN. 1975.	New Zealand				Permian				298.9	252.2											20	N	355			
D45/f7574	S159/f0574	Outcrop						S159 989 618 (NZMS1 SthIsl (truncated))	2118372.377464225	5466297.661003895	45.90475°S	167.95191°E	1975			160M ABOVE JUNCTION OF FIRST EAST TRIBUTARY AND COAL CREEK TO NORTH OF MALAKOFF HILL.	New Zealand				Etalian				245.5	238.0								425 m above D45/f7572; 275 m below D45/f7573; 			20	SE	50			
D45/f7574A	S159/f0574A	Outcrop						S159 989 618 (NZMS1 SthIsl (truncated))	2118372.377464225	5466297.661003895	45.90475°S	167.95191°E				Rocky face with small scree, left bank Coal Ck. 800 yards NE of Frank Taylor's homestead	New Zealand			MALAKOFF HILL GROUP																	20	E	104			
D45/f7574B	S159/f0574B	Outcrop						S159 989 618 (NZMS1 SthIsl (truncated))	2118372.377464225	5466297.661003895	45.90475°S	167.95191°E					New Zealand																									
D45/f7574C	S159/f0574C	Outcrop						S159 989 618 (NZMS1 SthIsl (truncated))	2118372.377464225	5466297.661003895	45.90475°S	167.95191°E					New Zealand																									
D45/f7579	S159/f0579	Outcrop						S159 988 635 (NZMS1 SthIsl (truncated))	2118254.525425237	5467848.743434649	45.89076°S	167.95163°E	1975			PROMINENT LIMESTONE BAND, 360 M WEST ALONG THE STRIKE FROM D45/f7572 AND ON WEST SIDE OF MOST WESTERLY PINE SHELTER BELT OF WETHER HILL STATION. WAIRAKI S.D.	New Zealand				Permian				298.9	252.2											25	NW	55			
D45/f7590	S159/f0590	Outcrop						S159 989 634 (NZMS1 SthIsl (truncated))	2118347.4177351715	5467758.971976519	45.89161°S	167.95275°E	1975			400M ALONG ROAD WEST OF WETHER HILL STATION, 10 M NORTH OF ROAD, WAIRAKI S. D.	New Zealand				Etalian				245.5	238.0																
D45/f7592	S159/f0592	Outcrop						S159 983 615 (NZMS1 SthIsl (truncated))	2117829.065023667	5466014.30870493	45.90699°S	167.9447°E	1975			520M UP FIRST TRIBUTARY OF COAL CREEK FROM MALAKOFF HILL, 40 METRES NORTH OF CREEK BED ON LOW RIDGE. WAIRAKI S. D.	New Zealand				Etalian				245.5	238.0																
D45/f7594	S159/f0594	Outcrop						S159 981 621 (NZMS1 SthIsl (truncated))	2117637.0445657363	5466559.1791954655	45.90199°S	167.94266°E	1975			.80KM NORTHWEST ALONG RIDGE WEST OF D45/f7592. ALSO COLLECTED BY H.W.W., B.L.W. AND A.R.M. ON 6/11/52.	New Zealand				Etalian				245.5	238.0											30	NE	340			
D45/f7649	S159/f0649	Outcrop						S159 966 646 (NZMS1 SthIsl (truncated))	2116228.06982356	5468819.05189469	45.88092°S	167.92634°E	1975			SCARP SOUTHEAST OF WILANDA DOWNS ROAD. JUST BEFORE THE ROAD CROSSES ABYSS CREEK. WAIRAKI SURVEY DISTRICT.	New Zealand				Etalian				245.5	238.0								4 m below D45/f7648; 	c. 15 m above top Basal Triassic band; 		20	E	60			
D45/f7746	S159/f0746	Outcrop						S159 965 615 (NZMS1 SthIsl (truncated))	2116185.1035908363	5465986.24020631	45.90633°S	167.92353°E	1975			60 METRES WEST AROUND THE HILL FROM GATE ON SOUTH SIDE OF WILANDA DOWNS ROAD THROUGH SADDLE TO THE EAST OF ABYSS CREEK BRIDGE.	New Zealand			Basal Triassic Conglomerate	Etalian				245.5	238.0											20	E	50			
D45/f7763	S159/f0763	Outcrop						S159 982 620 (NZMS1 SthIsl (truncated))	2117729.935802702	5466469.407305782	45.90285°S	167.94378°E				Strike ridge between Coal Ck and tributary that passes Frank Taylor's homestead, 1000 yds upstream from tributary junction, left bank of trib., Wairaki S.D. 	New Zealand																		below base Daonella incoming; 	mapped as Malakopp Hill Gp, AR Mutch, MS	25	E	158			
D45/f7905	S159/f0905	Outcrop	JDC 1871					S159 023 638 (NZMS1 SthIsl (truncated))	2121446.4903983846	5468177.362091004	45.88957°S	167.99293°E				Outcrop E of road, 1 ch S of culvert over Beaumont Stream, Beaumont-Wairaki Hut road, Wairaki S.D.	New Zealand				Etalian				245.5	238.0									above top Daonella incoming; below base Gk; 	AR Mutch, MS	10	N	58			
D45/f7906	S159/f0906	Outcrop	JDC 1872					D45 215 680 (NZMS260 map reference (truncated))	2121500.000002927	5467999.9999521375	45.89119°S	167.99348°E				New quarry S of road, E of Beaumont Woolshed.	New Zealand																		above top Daonella incoming; below base Gk; 	Etalian, Mutch, MS			125			
D45/f7906A		Outcrop	HJC 1081					(D45) 2121300 5467700 (New Zealand Map Grid)	2121300.0000029253	5467699.999952158	45.89377°S	167.99068°E	1975			QUARRY EAST SIDE OF ROAD ON CONSPICOUS BEND BETWEEN BEAUMONT AND ARDROSS STATIONS, TO NORTH OF OHAI. 	New Zealand		No hard copy found.		Etalian				245.5	238.0																
D45/f7906B		Outcrop	HJC 1081					(D45) 2121300 5467700 (New Zealand Map Grid)	2121300.0000029253	5467699.999952158	45.89377°S	167.99068°E	1975			QUARRY EAST SIDE OF ROAD ON CONSPICUOUS BEND BETWEEN BEAUMONT AND ARDROSS STATIONS, TO NORTH OF OHAI. 	New Zealand		No hard copy found.																							
D45/f7911	S159/f0911	Outcrop	JDC 1881					S159 0190 6295 (NZMS1 SthIsl (truncated))	2121094.420239523	5467394.784751397	45.8964°S	167.98779°E				Outcrop in new road cutting under lone pine tree c. 50 yds E of woolshed gate.	New Zealand				Etalian				245.5	238.0									above top Daonella incoming; below base Gk; 	AR Mutch, MS 						
D45/f7914	S159/f0914	Outcrop	JDC 1885					S159 988 615 (NZMS1 SthIsl (truncated))	2118285.723979916	5466022.105696769	45.90718°S	167.95058°E				Outcrop on ridge SE of junction of S-flowing tributary and Coal Creek. Wairaki S.D.	New Zealand			MALAKOFF HILL GROUP															above top Permian; below base Etalian; 						known: Scythian - Etalian	
D45/f7916	S159/f0916	Outcrop	JDC 1887					S159 990 618 (NZMS1 SthIsl (truncated))	2118463.7094543236	5466299.220571747	45.90479°S	167.95309°E				Outcrop on ridge E of S-flowing tributary of Coal Creek. At N limit of willows. Wairaki S.D.	New Zealand			MALAKOFF HILL GROUP																AR Mutch, MS	5	E	180		Known: Scythian - Etalian	
D45/f7918	S159/f0918	Outcrop	JDC 1889					S159 993 617 (NZMS1 SthIsl (truncated))	2118739.2652903376	5466212.567123227	45.90572°S	167.95656°E				Outcrop 800 yds N of Malakoff Hill, forming low E-running ridge in cultivated field. Wairaki S.D.	New Zealand			MALAKOFF HILL GROUP															above top Permian; below base Ge; 	AR Mutch, MS					Known: Scythian - Etalian	
D45/f7972	S159/f0972	Outcrop	JDC 1906					S159 024 657 (NZMS1 SthIsl (truncated))	2121508.1610927805	5469914.262861817	45.874°S	167.99509°E				Head of tributary of N branch of Beaumont Stream.	New Zealand				Etalian				245.5	238.0																
D45/f7973	S159/f0973	Outcrop	JDC 1915					S159 028 645 (NZMS1 SthIsl (truncated))	2121892.232997439	5468824.503097558	45.884°S	167.99918°E				Ploughed paddock, E end.	New Zealand																									
D45/f7976	S159/f0976	Outcrop	JDC 1923					S159 020 648 (NZMS1 SthIsl (truncated))	2121156.8799817394	5469086.014896453	45.88125°S	167.98993°E				W-facing slope between two bridges on Fletts Hut - Beaumont Road.	New Zealand																									
E44/f0012		Outcrop						(E44) 2137800 5495100 (New Zealand Map Grid)	2137800.0000028415	5495099.999951209	45.65652°S	168.22345°E	1975			COLLECTED FROM POORLY EXPOSED WEATHERED CONGLOMERATE JUST ACROSS FENCE HIGH ON SOUTHEAST SHOULDER OF HILL ABOVE MOSSBURN ROAD METAL QUARRY NORTH SIDE OF ORETI RIVER. MOSSBURN.	New Zealand			COUNTESS FORMATION																						
E44/f0012A		Outcrop	142					(E44) 2137800 5495000 (New Zealand Map Grid)	2137800.000002842	5494999.99995121	45.65742°S	168.22338°E	1975			QUARRY NORTH SIDE OF ORETI RIVER OPPOSITE ROCKY POINT RIDGE ABOVE AND TO EAST OF QUARRY.	New Zealand																									
E44/f0012B		Outcrop	HJC 1083					(E44) 2137800 5495100 (New Zealand Map Grid)	2137800.0000028415	5495099.999951209	45.65652°S	168.22345°E	1975			POORLY EXPOSED WEATHERED GRIT, JUST ACROSS FENCE, HIGH ON SOUTHEAST SHOULDER OF HILL ABOVE MOSSBURN QUARRY.	New Zealand			COUNTESS FORMATION																						
E44/f0017		Outcrop	JDC 3245					E44 383 951 (NZMS260 map reference (truncated))	2138300.000002837	5495099.99995121	45.65678°S	168.22986°E		Location name	5000.0	Mossburn Quarry. NE flank at plastic (polythene) water pipe. Wire netting on post to N of otc	New Zealand	Coordinates on form (201|377) not correct for sheet E44 nor locality description. New coordinates estimates from locality description.			Makarewan				253.2	251.0																
E44/f0063		Outcrop	JDC 2235					E44 393 886 (NZMS260 map reference (truncated))	2139300.000002828	5488599.999951279	45.71569°S	168.23783°E	1985			West end of ridge 230 m (ca) south of road, northwest limit of tussock ridges, Taringatura Hills (aerial photo 761/10).	New Zealand				Etalian				245.5	238.0																
E44/f0064		Outcrop	JDC 3788					E44 408 876 (NZMS260 map reference (truncated))	2140800.0000028173	5487599.999951299	45.72545°S	168.25633°E	1985			Ridge south of Stag Stream - Reed Burn Vale outcrop on Hill Farm Road.	New Zealand				Etalian				245.5	238.0							E44/f8467; 									
E44/f0065		Outcrop	DSC #T6 (ERF)					E44 434 860 (NZMS260 map reference (truncated))	2143400.000002795	5485999.999951338	45.74117°S	168.2885°E	1985			North range 457 m southwest of Stag Stream on New Road past White Hill, in low road cut on south side of road.	New Zealand	Approximate only.		NORTH RANGE BEDS	Etalian				245.5	238.0																
E44/f8437	S159/f0437	Outcrop	DSC 107					S159 226 858 (NZMS1 SthIsl (truncated))	2139643.558883656	5488589.866193	45.71596°S	168.24223°E				201 metres south of second road corner from road junction at the northern margine of the Taringatura Hills in upper reaches of the main east branch of the Mossburn.	New Zealand				Kaihikuan				238.0	229.0									411 m above top NORTH RANGE BEDS; 							
E44/f8439	S159/f0439	Outcrop						S159 244 847 (NZMS1 SthIsl (truncated))	2141305.0418111105	5487613.382614265	45.72559°S	168.26282°E				302 metres soutwest of brick and roughcast bungalow at road corner in the upper reaches of the main east branch of the Moss Burn. Taringatura Survey District.	New Zealand				Kaihikuan				238.0	229.0									411 m above top NORTH RANGE BEDS; 76 m below top NORTH RANGE BEDS; 							
E44/f8467	S159/f0467	Outcrop	DSC 95, 96, 98					S159 2310 8505 (NZMS1 SthIsl (truncated))	2140112.0681775776	5487912.650909258	45.72229°S	168.24774°E					New Zealand				Kaihikuan				238.0	229.0									411 m above base Kaihiku Series Gk; 							
E44/f8468	S159/f0468	Outcrop	DSC 126					S159 241 844 (NZMS1 SthIsl (truncated))	2141035.724573372	5487334.634451947	45.72796°S	168.25915°E				White Hill.	New Zealand				Kaihikuan				238.0	229.0																
E44/f8473	S159/f0473	Outcrop						S159 2400 8375 (NZMS1 SthIsl (truncated))	2140954.5957106305	5486739.325932206	45.73326°S	168.25767°E					New Zealand																		762 m above base Kaihiku Series Gk; 							
E44/f8886	S159/f0886	Outcrop						S159 205 750 (NZMS1 SthIsl (truncated))	2137894.8830583994	5478691.859399777	45.80396°S	168.2124°E	1975			40 M SOUTH OF GS 7358 IN LOOSE RUBBLE AND BASE ROCK BORED BY UPROOTED TREE, BUSH EDGE. ABOUT 18 M ABOVE CONGLOMERATE.	New Zealand		= GS 7357-56-58 etc.	PRODUCTUS CREEK GROUP																						
E44/f8889	S159/f0889	Outcrop						S159 203 753 (NZMS1 SthIsl (truncated))	2137707.496813898	5478962.752972997	45.80142°S	168.2102°E	1975			6M BLUFF IN THE BUSH THAT PROTRUDES AS A LOBE NORTH OF GS 7337-8. 180 M NORTH OF GS 7358.	New Zealand			PRODUCTUS CREEK GROUP																					UPPER LOCALITY ON THE PRODUCTUS CREEK GROUP = 7357, 8, 6, ETC.	
E44/f9538	S160/f0538	Outcrop	2215					S160 353 709 (NZMS1 SthIsl (truncated))	2151478.3575046826	5475178.454112094	45.84251°S	168.38434°E	1945			ONE GASTROPOD AND RHYNCHONELLID - 47 STEPS SOUTH OF NORTHERNMOST OUTCROP MAIN ROAD. ONE GASTROPOD - 72 STEPS SOUTH OF NORTHERNMOST OUTCROP	New Zealand				Etalian				245.5	238.0																
E45/f0354		Outcrop	JDC4535, 4537					E45 663 628 (NZMS260 map reference (truncated))	2166300.0000025467	5462799.999952775	45.96105°S	168.56629°E	1984			Wadworth road at corner ca. 80 m north of gate.	New Zealand			MURIHIKU SUPERGROUP	Kaihikuan				238.0	229.0											85	S	295	Normal		
E45/f9432	S169/f0432	Outcrop						S169 332 575 (NZMS1 SthIsl (truncated))	2149769.3290277636	5462904.772261117	45.9519°S	168.35344°E		Map - scale not specified	500.0	 BENMORE RUN, HOKONUI HILLS. MCKAY 1878 R.G.E. 11: 89 - FROM A SPUR NEAR THE RAILWAY 5 KM ABOVE ORETI RAILWAY STATION (NOW DIPTON).	New Zealand				Oretian				229.0	221.0																
E45/f9730	S169/f0730	Outcrop						S169 5015 5574 (NZMS1 SthIsl (truncated))	2165281.2383775753	5461561.142130494	45.97169°S	168.5523°E	1975			HEAD OF NORTHEAST BRANCH TAYLOR'S STREAM.	New Zealand				Kaihikuan				238.0	229.0																
E45/f9982	S169/f0982	Outcrop	JRB 741,2					S169 493 598 (NZMS1 SthIsl (truncated))	2164441.375426189	5465257.008987359	45.93807°S	168.54406°E	1964			Beer's section along bulldozed road station 47.	New Zealand			NORTH RANGE GROUP	Malakovian				246.5	245.5	Malakovian		Kaihikuan		246.5	229.0			140 m above base NORTH PEAK FORMATION; 	Boles Thesis O.U-Plate 2.						
E45/f9986	S169/f0986	Outcrop	JRB 755					S169 490 593 (NZMS1 SthIsl (truncated))	2164175.105827209	5464795.540701026	45.94209°S	168.54031°E	1964			Hokonui Hills, Beer's section along bulldozed road, station 72.	New Zealand			NORTH RANGE GROUP															560 m above base NORTH PEAK FORMATION; 	Boles OU Thesis-plate 2.						
E47/f0004		Outcrop	1133					(E47) 2148300 5399700 (New Zealand Map Grid)	2148300.0000018184	5399699.999968351	46.51887°S	168.28777°E	1983			MOKOMOKO INLET, NEW RIVER ESTUARY, BLUFF; SHORE PLATFORM EXPOSURE ON EAST SIDE OF INLET AT SMALL POINT TO IMMEDIATE NORTH OF MOST WESTERLY POINT OF BROAD BULGE (SEE MAP) OF LAND TO NORTH OF STANLEY TOWNSHIP ROAD.	New Zealand			GREENHILLS GROUP							Aparima Series		D'Urville Series		288.5	251.0										
