**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Collectors	Collection Date	Fossils in Place	Sent To	Not Collected	Significance/Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	Primary Grainsize	Secondary Grainsize	Comparator Used	Bedding Thickness	Bedding Features	Weathering	Hardness	Carbonate	Colour	Sedimentary Features	Inferred Environment	Nature of Rock Unit	Correspondence	
D44/f9131	S159/f1131	Outcrop	82 and 803					S159 001 742 (NZMS1 SthIsl (truncated))	2119274.5743060294	5477641.5940293595	45.80337°S	167.97248°E				Just above the main junction of the W-flowing tributary of Elbow Creek immediately S of Productus Creek. In the middle of the bifurcation.	New Zealand			Begg, J.G.; 	May 1974	Yes	(macrofauna) Otago U; 			MANGAREWA FORMATION	Braxtonian				276.0	259.8	Braxtonian				276.0	259.8			1 m above base Mangarewa Formation; 1 m above base Productus Creek Group; 	Begg 1974 4th year report OU					Fossils collected from just (no > 1 m) above the contact between Takitimu Group and Productus Creek Group.	fine sand		N			intense	moderately soft		red (Wet)	rock fragments; 	Marine			
D44/f9132	S159/f1132	Outcrop	621					S159 026 689 (NZMS1 SthIsl (truncated))	2121640.8273463817	5472840.065122242	45.8478°S	167.9991°E				Road cutting in the W branch of the upper Beaumont Stream.	New Zealand			Begg, J.G.; 	January 1974	Yes	(macrofauna) Otago U; 			Capils Bush Beds	Etalian				245.5	238.0	Etalian				245.5	238.0			75 m above base Capils Bush Beds; 15 m below top Malakoff Hill Group; 	Begg 1974 4th year report OU	15	E	160	Normal		medium sand		N	60 - 120 cm		none or slight	moderately hard	non-calcareous	dark green (Dry)	rock fragments; 	Marine	Medium poorly bedded speckled green sandstone.		
D44/f9133	S159/f1133	Outcrop	421/422					S159 042 716 (NZMS1 SthIsl (truncated))	2123059.941851736	5475331.109642947	45.8262°S	168.01928°E				On a prominant strike ridge with a road along its top 300 m S of an abrupt cessation in the ridge.	New Zealand			Begg, J.G.; 	January 1974	Yes	(macrofauna) Otago U; 			Red Bog Group	Etalian				245.5	238.0	Etalian				245.5	238.0			210 m above base Red Bog Beds; 210 m above base North Etal Group; 	Begg 1974 4th year report OU	10	E	180	Normal	Establishes Etalian age for the Red Bog Beds of the N Etal Group.	medium sand		N			moderate	moderately soft	calcareous	dark brown (Dry)	carbonaceous; rock fragments; tuffaceous; 	Marine	Medium-coarse tuffaceous sandstones with mud ball pebbles included. As a lens within very fine sandstones.		
D44/f9478	S159/f0478	Outcrop						S159 991 747 (NZMS1 SthIsl (truncated))	2118353.423731115	5478082.592306422	45.7989°S	167.961°E	1975			PRODUCTUS CREEK. 2.3 KM AT 234 DEGREES FROM TRIG F LETHAM. RECOLLECTED BY A.R. MUTCH ET AL NOVEMBER, 1953.	New Zealand			Willett, R.W.; Marwick, J.; Rout, M.V.; 	1946	Yes	(macrofauna) Marwick, J./NZGS; 																									silt	mud					hard	limestone	dark blue-grey	shelly (abundant); tuffaceous (abundant); 	Marine	Tuffaceous limestone.		
D44/f9478A	S159/f0478A	Outcrop	PC13					D44 185 782 (NZMS260 map reference (truncated))	2118500.0000029798	5478199.999951556	45.79793°S	167.96297°E	1975			MANGAREWA FORMATION TYPE LOCALITY. PROMINENT BLUFF ON TRUE RIGHT OF PRODUCTUS CREEK.	New Zealand			Olivecrona, Y.M.; Begg, J.G.; 	April 11, 1983	Yes	(microflora) NZGS; (macrofauna) Keyes, I.W./NZGS; 			MANGAREWA FORMATION	Braxtonian				276.0	259.8									c. 10 m above base PRODUCTUS CREEK Group; 	MUTCH 1972, FORCE 1975.				Normal		very fine sand	silt	N			none or slight	moderately hard	calcareous	dark grey-green (Dry)	shelly (abundant); carbonaceous; tuffaceous; burrowed; pyritic; 	Marine		J.G. BEGG NOTEBOOK.	
D44/f9478B	S159/f0478B	Outcrop	HJC 1082					(D44) 2118500 5478200 (New Zealand Map Grid)	2118500.0000029798	5478199.999951556	45.79793°S	167.96297°E	1975			MANGAREWA FORMATION TYPE LOCALITY. PROMINENT BLUFF ON TRUE RIGHT OF PRODUCTUS CREEK. RECOLLECTION.	New Zealand			Campbell, H.J.; Begg, J.G.; 	December 8, 1985	Almost	(macrofauna) Campbell, H.J./NZGS; (macroflora) Raine, J.I./NZGS; 		THIS LOCALITY IS EXCEPTIONALLY RICH AND IS OF SPECIAL INTEREST BECAUSE Glossopteris LEAVES HAVE BEEN COLLECTED HERE.	MANGAREWA FORMATION																																			
D44/f9478C	S159/f0478C	Outcrop	HJC1140					(D44) 2118800 5478300 (New Zealand Map Grid)	2118800.000002978	5478299.9999515535	45.7972°S	167.9669°E	1975			PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND; CONSPICUOUS BLUFF ON TRUE RIGHT HAND SIDE OF PRODUCTUS CREEK WITH THE CLASSIC Glossopteris LOCALITY. FOSSILS YES AND ALMOST IN PLACE.	New Zealand			Forsyth, P.J.; Woods, M.; Campbell, H.J.; 	January 29, 1987	Almost	(macrofauna) Campbell, H.J./NZGS; 		COLLECTED SPECIFICALLY FOR ATOMODESMATINIDS, Glossopteris AND PECTINIDS.																																				
D44/f9479	S159/f0479	Outcrop						S159 993 781 (NZMS1 SthIsl (truncated))	2118482.8037303346	5481191.005301737	45.77106°S	167.96511°E	1975			CORAL BLUFF. 2 KM AT 311 DEGREES FROM TRIG F LETHAM ABOUT 1.50 KM NORTH ALONG STRIKE FROM GS3614. ALSO RECOLLECTED BY A.R. MUTCH AND PARTY, NOV. 1953.	New Zealand			Rout, M.V.; Marwick, J.; Willett, R.W.; 	1946	Yes	(macrofauna) Marwick, J./NZGS; 																				15	E	10			fine sand						moderately hard	limestone	medium green-red	shelly (abundant); tuffaceous (abundant); 	Marine	Tuffaceous limestone.	Note, correct grid ref. as above not as in Pal. Bull. 19.	
D44/f9480	S159/f0480	Outcrop						S159 987 761 (NZMS1 SthIsl (truncated))	2117966.164447862	5479354.968040364	45.78726°S	167.95703°E	1975			LETHAM BURN. 2 KM AT 258 DEGREES FROM TRIG F LETHAM. WAIRAKI S.D.	New Zealand			Rout, M.V.; Willett, R.W.; Marwick, J.; 	1946	Yes	(macrofauna) Marwick, J./NZGS; 		AGE - ARTINSKIAN, SEE PAL. BULL. 19.																							fine sand	fine sand					moderately hard	limestone	green-grey	shelly (abundant); tuffaceous (abundant); 	Marine	CALCAREOUS GREYWACKE. IMPURE LIMESTONE. REDDISH GREEN-GREY.		
D44/f9511	S159/f0511	Outcrop						S159 8900 6715 (NZMS1 SthIsl (truncated))	2109247.2739698826	5471029.257139055	45.85715°S	167.83838°E	1975			HEAD OF SOTH BRANCH OF SMALL CREEK OPPOSITE GIBRALTAR BURN, WAIRAKI RIVER JUNCTION. RECOLLECTED BY I.G. SPEDEN, P.M. CHANDLER and A.R. MUTCH, 5/9/57.	New Zealand			Wood, B.L.; Mutch, A.R.; 	March 29, 1951	Yes	(macrofauna) Marwick, J./NZGS; 		12, 000 M BELOW PRODUCTUS GROUP (BASE) AGE- ARTINSKIAN COLD WATER FACIES OF PERMIAN OF EAST AUSTRALIA ETC. AS IN WAIRAKI. MAPPED AS TUFFS AND PORPHYRITES BY ROUT AND WILLETT.	TAKITIMU GROUP	Carboniferous				358.9	298.9																granule	medium sand				none or slight	hard	non-calcareous	dark brown-grey	shelly; tuffaceous (abundant); 	Marine	FROM THE ONLY LENS OF GREYWACKE YET FOUND IN THE VERY THICK DEVELOPMENT OF PALEOZOIC TUFFS.		
D44/f9542	S159/f0542	Outcrop						S159 046 801 (NZMS1 SthIsl (truncated))	2123292.0853911685	5483100.803425478	45.75655°S	168.02832°E	1975			WAIRAKI S.D. 48 KM AT 352 DEGREES FROM TRIG E AT THE SOUTH END OF THE SECOND PROMINENT HIGH BLUFF JUST NORTH OF THE FIRST EAST TRIBUTARY OF NORTH ETAL CREEK.	New Zealand			Waddick, A.J.; Mutch, A.R.; 	March 5, 1952	Yes	(macrofauna) NZGS; 		SOLITARY WELL-PRESERVED Pleuratomaria FOUND 9.14 METRES STRATIGRAPHICALLY ABOVE THE BAND, CONTAINING BELEMNOID REMAINS? AND FOUND MARKS, ON SAME LITHOLOGY AS ABOVE. CRINOID REMAINS, ETC CAME FROM CONCRETIONS IN COARSE TUFF SANDSTONE, BAND ASSOCIATED WITH VITRIC TUFF, 1.52 METRES STRATIGRAPHICALLY BELOW BELEMNOID? BAND.		Etalian				245.5	238.0									304.8 m above top BED WITH EXTREMELY SMALL AMMONITE; 396.24 m below base G.S.3718 (Gk); 							mud	silt					hard	non-calcareous	dark blue-grey		Marine	Bone with probable teeth held at GNS GS5519. Images attached		
D44/f9543	S159/f0543	Outcrop						S159 046 803 (NZMS1 SthIsl (truncated))	2123288.9469376397	5483283.472285334	45.7549°S	168.02842°E	1975			WAIRAKI S.D. SOUTH END OF SECOND PROMINENT HIGH BLUFF JUST NORTH OF FIRST EAST TRIBUTARY OF NORTH ETAL CREEK. 4.8 KM AT 352 DEGREES FROM TRIG E.	New Zealand			Mutch, A.R.; Waddick, A.J.; 	March 5, 1952	Yes	(macrofauna) NZGS; 		WHOLE BLUFF CONSISTS OF MUDSTONE WITH WORM TRACKS AND POORLY PRESERVED PLANT REMAINS, BUT THERE ARE NUMEROUS BEDS OF VITRIC TUFF AND TUFFACEOUS SANDSTONE.		Kaihikuan				238.0	229.0								76 m above D44/f9542; 								very fine sand	silt					hard	non-calcareous	dark blue-grey	burrowed (abundant); 	Marine		RECOLLECTED BY MUTCH, A.R., DECEMBER 1953.	
D44/f9553	S159/f0553	Outcrop						S159 041 808 (NZMS1 SthIsl (truncated))	2122824.428443948	5483732.296753626	45.75062°S	168.02281°E	1975			WAIRAKI S.D. 1.6 KM AT 303 DEGREES FROM TRIG Z. 200 M SOUTH OF FIRE DEMOLISHED HUT ON SOUTH BANK OF APARIMA RIVER. 805 METRES WEST OF JUNCTION OF APARIMA RIVER AND NORTH ETAL CREEK.	New Zealand			Mutch, A.R.; Waddick, A.J.; 	March 7, 1952	Yes	(macrofauna) NZGS; 		ABOUT SAME HORIZON AS G.S.5521		Etalian				245.5	238.0											45	E	2			mud	clay					hard	non-calcareous	medium brown-grey					
D44/f9559	S159/f0559	Outcrop						S159 9445 7775 (NZMS1 SthIsl (truncated))	2114058.76259416	5480795.30520194	45.77216°S	167.90802°E	1975			IN STREAM BED 120 M BELOW MAIN FORK IN FIRST WEST TRIBUTARY ABOVE JUNCTION OF LETHAM BURN AND WAIRAKI RIVER, 2.84 KM AT 329 DEGREES FROM TRIG G.	New Zealand			Mutch, A.R.; Waddick, A.J.; 	March 26, 1952	Yes	(macrofauna) Leed, H./NZGS; 				Permian				298.9	252.2																coarse sand	granule					hard	calcareous	dark blue-grey	tuffaceous (abundant); 	Marine			
D44/f9604	S159/f0604	Outcrop						S159 8585 6880 (NZMS1 SthIsl (truncated))	2106344.731675023	5472486.914070786	45.84241°S	167.80227°E	1975			WAIRAKI GORGE. LARGE SLIPS WITH COPIOUS SCREE AT NORTHERN END OF WAIRAKI GORGE ON EAST SIDE. RECOLLECTED BY A.R. M ET AL ON 9/3/54 AND H.J.C. ET AL ON 18/12/81. WAIRAKI SURVEY DISTRICT. 7 KILOMETRES AT 320°30' FROM TRIG N MT LINTON.	New Zealand			Waddick, A.J.; Mutch, A.R.; 	February 12, 1953	Yes	(macrofauna) Campbell, H.J./NZGS; 		LOWEST KNOWN FOSSIL LOCALITY IN TAKITIMU GROUP.	TAKITIMU GROUP	Mangapirian				285.0	276.0									12802 m below base PRODUCTUS CREEK GROUP; 		45	NE	10			pebble	mud					hard	non-calcareous	dark blue-grey	shelly; tuffaceous (abundant); 	Marine	THE FRAGMENTS IN THE TUFFACEOUS MUDSTONE ARE UP TO THREE-EIGHTS OF AN INCH SUB-ROUNDED TO ANGULAR AND PORYPHYRITIC IN COMPACTION. THE STRATIGRAPHIC POSITION OF THESE FOSSILS IS EITHER COMPARABLE WITH THE GIBRALTAR BURN G.S. 5296 OR STRATIGRAPHICALLY LOWER.		
D44/f9604A	S159/f0604A	Outcrop	125					(D44) 2106300 5472400 (New Zealand Map Grid)	2106300.0000030627	5472399.999951806	45.84317°S	167.80162°E	1975			WAIRAKI RIVER, SCREE AT EDGE OF RIVER FLAT, BY ROAD.	New Zealand			Raine, J.I.; Olivecrona, Y.M.; Campbell, H.J.; 	December 18, 1981	No	(macrofauna) Campbell, H.J./NZGS; (microfauna) Olivecrona, Y.M./NZGS; 		SAME LOCALITY AS S159/f604. LOWEST KNOWN FOSSIL LOCALITY IN TAKITIMU GROUP.	TAKITIMU GROUP													D44/f9604; 									mud		N			none or slight	moderately hard		medium grey (Dry)				HJC FIELD BOOK 1981.	
D44/f9621	S159/f0621	Outcrop						S159 988 770 (NZMS1 SthIsl (truncated))	2118043.3908791784	5480178.518671701	45.77991°S	167.95867°E	1975			40 M EAST OF PACK TRACK IN SMALL SADDLE SOUTH OF SECOND EAST BRANCH OF LETHAM BURN. WAIRAKI SURVEY DISTRICT.	New Zealand			McKellar, I.C.; Mutch, A.R.; Wood, B.L.; 	November 18, 1953	Yes	(macrofauna) NZGS; 		3 M BELOW FIRST LIMESTONE MEMBER.		Mangapirian				285.0	276.0																very fine sand					intense	moderately soft	non-calcareous	medium brown-grey	shelly (abundant); 	Marine			
D44/f9622	S159/f0622	Outcrop						S159 989 763 (NZMS1 SthIsl (truncated))	2118145.6934003723	5479540.765182756	45.78569°S	167.95948°E	1975			'CHONETES (UPPER NUCULANA) RIDGE LOCALITY' 200 M NORTH NORTHEAST OF JUNCTION OF FIRST EAST BRANCH AND LETHAM BURN ITSELF. WAIRAKI SURVEY DISTRICT. THIS FORM WAS FLEXED ON 12/6/70.	New Zealand			Mutch, A.R.; McKellar, I.C.; 	November 1953	Yes	(macrofauna) NZGS; 		BASE BELOW THIRD LIMESTONE MEMBER.		Mangapirian				285.0	276.0											30	E	10			very fine sand	silt					moderately hard	limestone	medium green-grey	shelly (abundant); tuffaceous; 	Marine			
D44/f9623	S159/f0623	Outcrop						S159 989 763 (NZMS1 SthIsl (truncated))	2118145.6934003723	5479540.765182756	45.78569°S	167.95948°E	1975			'CHONETES RIDGE LOCALITY'. WAIRAKI SURVEY DISTRICT.	New Zealand			Mutch, A.R.; 	November 1953	Yes	(macrofauna) NZGS; 		THIS FINER LESS TUFFACEOUS SILTSTONE CONTAINS MORE BIVALVIA THAN THE OVERLYING TUFFACEOUS SANDSTONE WHICH IS BRACHIOPOD RICH CF D44/f9622. FLEXED ON 12.6.1970.		Mangapirian				285.0	276.0								3 m below D44/f9622; 			30	E	10			silt	mud					moderately hard	calcareous	dark blue-grey	shelly (abundant); 	Marine			
D44/f9624	S159/f0624	Outcrop						S159 992 756 (NZMS1 SthIsl (truncated))	2118430.6568507315	5478906.144356293	45.79155°S	167.96264°E	1975			FIRST EAST BRANCH OF LETHAM BURN, ON RIDGE ACROSS STREAM FROM A PROMINENT SCARP OF CONGLOMERATE ON NORTH SIDE. WAIRAKI SURVEY DISTRICT.	New Zealand			Mutch, A.R.; 	November 1953	Yes	(macrofauna) NZGS; 		SAME HORIZON AS D44/f9622.		Mangapirian				285.0	276.0																very fine sand	silt					moderately hard	calcareous	medium green-grey	shelly (abundant); tuffaceous (abundant); 	Marine			
D44/f9625	S159/f0625	Outcrop						S159 855 805 (NZMS1 SthIsl (truncated))	2105841.8768409654	5483166.421225585	45.74623°S	167.80452°E	1975			'LUMREEK BYPASS'. WEST SIDE OF GIBRALTAR BURN - REDCLIFF CREEK (SOUTH BRANCH) WATERSHED. IN SCREE. ALSO RECOLLECTED NOVEMBER 1956. TAKITIMU SURVEY DISTRICT.	New Zealand			Mutch, A.R.; 	December 1953	No	(macrofauna) NZGS; 				Carboniferous				358.9	298.9								3000 m below D44/f9511; 								very fine sand	silt					hard	non-calcareous	dark blue-grey	tuffaceous (abundant); 	Marine	THE BYPASS IS DOWN A VERTICAL SILL OF DIORITE WHICH IS UNDERLAIN BY SPOTTED SANDSTONE.		
D44/f9626	S159/f0626	Outcrop						S159 990 770 (NZMS1 SthIsl (truncated))	2118226.0539992913	5480181.653602376	45.77998°S	167.96102°E	1975			SECOND EAST BRANCH OF LETHAM BURN BY PROMINENT CONGLOMERATE SCARP ON EDGE OF BEECH. (SOUTH FORK). WAIRAKI SURVEY DISTRICT.	New Zealand			Mutch, A.R.; 	November 1953	Yes	(macrofauna) NZGS; 		BELOW FOURTH LIMESTONE MEMBER.		Mangapirian				285.0	276.0																fine sand	fine sand					moderately hard	limestone	medium green-grey	shelly (abundant); tuffaceous (abundant); 	Marine	TUFFACEOUS LIMESTONE.		
D44/f9651	S159/f0651	Outcrop						S159 9245 8380 (NZMS1 SthIsl (truncated))	2112137.245031052	5486289.302421093	45.72174°S	167.88777°E	1975			.75KM WEST OF MCLEAN PEAKS, ALONG THE RIDGE BETWEEN THESE PEAKS AND WAIRAKI PEAKS.	New Zealand			Waddick, A.J.; Mutch, A.R.; 	March 1954	Yes	(macrofauna) NZGS; 			TAKITIMU GROUP	Telfordian		Mangapirian		288.5	276.0								300 m below D44/f9559; 								pebble	granule					hard	non-calcareous	medium green-brown	tuffaceous (abundant); 	Marine	VOLCANIC BRECCIA.		
D44/f9671	S159/f0671	Outcrop						S159 000 774 (NZMS1 SthIsl (truncated))	2119133.1023401828	5480562.656869335	45.77706°S	167.97296°E				Low ridge just inside bush at open of an acute indentation and just north of the northern creek coming down from Letham. Trig F, 3147'. 	New Zealand			Chandler, P.M.; Waterhouse, J.B.; Mutch, A.R.; 	January 23, 1955	Yes	(macrofauna) NZGS; 		Corals, brachiopods, etc.		Mangapirian				285.0	276.0																pebble	granule					moderately hard	calcareous	dark blue-grey	shelly; tuffaceous; 	Marine			
D44/f9672	S159/f0672	Outcrop						S159 991 759 (NZMS1 SthIsl (truncated))	2118334.624665948	5479178.572672945	45.78905°S	167.96162°E	1975			SMALL OUTCROP ON SOUTH EDGE OF FIRST SMALL NORTH TRIBUTARY OF THE FIRST EAST TRIBUTARY OF THE LETHAM BURN. (BASAL NUCULANA RIDGE)	New Zealand			Mutch, A.R.; Chandler, P.M.; Waterhouse, J.B.; 	January 22, 1955	Yes	(macrofauna) NZGS; 		BRACHIOPODS, GASTROPODS AND LAMELLIBRANCHS. THIS OUTCROP WOULD BE G.S.3614 (S159/987769), BUT ITS POSITION IS DIFFERENT, IF ABOVE GRID IS CORRECT. HOWEVER THE GRID FOR BOTH PRODUCTUS CREEK AND CORAL BLUFF ARE INCORRECT IN THE PAL. BULL. HOWEVER WEIGHING ALL EVIDENCE I CONSIDER THIS A NEW LOCALITY. (A. R. MUTCH, 27/01/1955)		Mangapirian				285.0	276.0											85	E	350			medium sand						moderately soft		dark blue-grey	shelly (abundant); 	Marine			
D44/f9672A	S159/f0672A	Outcrop						(D44) 2118400 5479500 (New Zealand Map Grid)	2118400.0000029826	5479499.999951506	45.7862°S	167.96271°E	1975			COLLECTION FROM OUTCROPS ON SMALL RIDGE BELOW SCARP OF GLENDALE LIMESTONE AND ABOVE (NORTH OF) ALEC MUTCH CREEK (1750~ A.S.L.), WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; Simes, J.E.; 	January 24, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 		RECOLLECTION OF S159/f672, GS6323.	LETHAM FORMATION	Braxtonian				276.0	259.8																fine sand	silt	N			moderate	moderately hard	calcareous	medium brown-grey	shelly (abundant); rock fragments; tuffaceous (abundant); 	Marine	BRACHIOPOD SHELLBED.		
D44/f9751	S159/f0751	Outcrop						S159 9975 8705 (NZMS1 SthIsl (truncated))	2118753.2497929493	5489372.266380365	45.69773°S	167.97502°E	1975			DUE WEST OF TRIG I. FIRST OUTCROP ON NORTH SIDE OF APARIMA RIVER AFTER ENTERING BUSH FROM LARGE MUDSTONE FACE BY CLEARING IN SADDLE TO THE NORTH.	New Zealand			Mutch, A.R.; Chandler, P.M.; 	December 1955	Yes	(macrofauna) NZGS: GS 6618; 																				80	E			Guessed: pre-Ge (same as fauna at Ohai)	coarse sand	medium sand				moderate	hard	non-calcareous	dark blue-grey	shelly (abundant); 	Marine			
D44/f9779	S159/f0779	Outcrop						S159 042 810 (NZMS1 SthIsl (truncated))	2122912.6234785244	5483916.534702871	45.74901°S	168.02409°E				W of North Etal Stream, mudstone forming bare faces few yds S of Pleasant Valley track, Wairaki S.D.	New Zealand			Campbell, J.D.; 	February 1958	Yes	(macrofauna) Canterbury U; 										Etalian		Kaihikuan		245.5	229.0			below base Gk; 		56	E	180			mud	fine sand					moderately soft	non-calcareous	dark blue-grey	carbonaceous (abundant); 	Marine			
D44/f9779A	S159/f0779A	Outcrop						S159 040 811 (NZMS1 SthIsl (truncated))	2122728.3855057564	5484004.729554522	45.74812°S	168.02179°E				Road cut S of Aparima River as road crosses from high to low terrace. just W of stone hut.	New Zealand			Campbell, J.D.; Force, E.R; 	November 26, 1967	Yes	(macrofauna) ; 				Etalian				245.5	238.0									368.5 m below base Siltstone (above) - sandstone; 	Mutch 1964	74	SE	25	Normal	Uppermost Ge this section. Contact exposed in river bank.	silt	silt				none or slight	moderately soft	non-calcareous	medium brown-black (Dry)	concretionary; burrowed; 		Crumbly siltstone		
D44/f9780	S159/f0780	Outcrop						S159 042 809 (NZMS1 SthIsl (truncated))	2122914.1930819717	5483825.200492091	45.74983°S	168.02403°E				Immediately W of North Etal Stream on terrace top to S of Pleasant Valley track, Wairaki S.D.	New Zealand			Campbell, J.D.; 	February 1958		(macrofauna) Canterbury U; 										Etalian		Kaihikuan		245.5	229.0			below base Gk; 							silt						moderately soft	non-calcareous	dark blue-grey		Marine			
D44/f9861	S159/f0861	Outcrop						S159 990 759 (NZMS1 SthIsl (truncated))	2118243.2930051587	5479177.005774207	45.78902°S	167.96045°E	1975			SMALL OUTCROP SOUTH EDGE OF FIRST SMALL NORTH TRIBUTARY OF THE FIRST EAST TRIBUTARY OF THE LETHAM BURN.	New Zealand			Mutch, A.R.; Waterhouse, J.B.; 	November 8, 1958	Yes	(macrofauna) Waterhouse, J.B./NZGS: GS 7343; 																	3 m below D44/f9672; 	nz.cri.gns.dataaccess.StorageAccessException: net.sf.hibernate.NonUniqueObjectException: a different object with the same identifier value was already associated with the session: 1217, of class: nz.cri.gns.fred.hibernate.FrNumber
	at nz.cri.gns.dataaccess.HibernateUtils.list(HibernateUtils.java:156)
	at nz.cri.gns.fred.hibernate.util.HibernateDAOFactory.getList(HibernateDAOFactory.java:421)
	at nz.cri.gns.fred.hibernate.util.HibernateDAOFactory.getList(HibernateDAOFactory.java:405)
	at nz.cri.gns.fred.util.SampleUtil.getRelationships(SampleUtil.java:765)
	at nz.cri.gns.fred.util.SampleUtil.getRelationships(SampleUtil.java:630)
	at nz.cri.gns.fred.util.SampleUtil.getRelationships(SampleUtil.java:638)
	at org.apache.jsp.export_jsp._jspService(export_jsp.java:295)
	at nz.cri.gns.jsp.IPSysJspPage.service(IPSysJspPage.java:170)
	at nz.cri.gns.fred.FREDIPSysJspPage.service(FREDIPSysJspPage.java:143)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
	at org.apache.jasper.servlet.JspServletWrapper.service(JspServletWrapper.java:432)
	at org.apache.jasper.servlet.JspServlet.serviceJspFile(JspServlet.java:390)
	at org.apache.jasper.servlet.JspServlet.service(JspServlet.java:334)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
	at sun.reflect.GeneratedMethodAccessor40.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:277)
	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:274)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAsPrivileged(Unknown Source)
	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:309)
	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:169)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:297)
	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:55)
	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:191)
	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:187)
	at java.security.AccessController.doPrivileged(Native Method)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:186)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:501)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:408)
	at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1040)
	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:607)
	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:313)
	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(Unknown Source)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
	at java.lang.Thread.run(Unknown Source)
Caused by: net.sf.hibernate.NonUniqueObjectException: a different object with the same identifier value was already associated with the session: 1217, of class: nz.cri.gns.fred.hibernate.FrNumber
	at net.sf.hibernate.impl.SessionImpl.checkUniqueness(SessionImpl.java:1677)
	at net.sf.hibernate.impl.SessionImpl.doUpdateMutable(SessionImpl.java:1443)
	at net.sf.hibernate.impl.SessionImpl.doUpdate(SessionImpl.java:1470)
	at net.sf.hibernate.impl.SessionImpl.saveOrUpdate(SessionImpl.java:1393)
	at net.sf.hibernate.engine.Cascades$4.cascade(Cascades.java:114)
	at net.sf.hibernate.engine.Cascades.cascade(Cascades.java:436)
	at net.sf.hibernate.engine.Cascades.cascade(Cascades.java:503)
	at net.sf.hibernate.engine.Cascades.cascade(Cascades.java:482)
	at net.sf.hibernate.impl.SessionImpl.preFlushEntities(SessionImpl.java:2673)
	at net.sf.hibernate.impl.SessionImpl.flushEverything(SessionImpl.java:2250)
	at net.sf.hibernate.impl.SessionImpl.autoFlushIfRequired(SessionImpl.java:1805)
	at net.sf.hibernate.impl.SessionImpl.getQueries(SessionImpl.java:1568)
	at net.sf.hibernate.impl.SessionImpl.find(SessionImpl.java:1533)
	at net.sf.hibernate.impl.QueryImpl.list(QueryImpl.java:39)
	at nz.cri.gns.dataaccess.HibernateUtils.list(HibernateUtils.java:153)
	... 41 more
